Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 2443500 Meter
Hoehenlage        : 380 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3943500 2443500  1  6  1   0.5  978  91  1.4 7  3.6  86    0    0 296 -322  2
3943500 2443500  1  6  2   1.3  978 122  1.0 7  3.7  89    0    0 292 -322  2
3943500 2443500  1  6  3   1.8  978 122  1.1 7  3.7  85    0    0 295 -322  2
3943500 2443500  1  6  4   1.0  978 141  1.0 7  3.7  84    0    0 294 -322  2
3943500 2443500  1  6  5   0.6  978 150  0.9 7  3.8  91    0    0 294 -322  2
3943500 2443500  1  6  6   0.4  978 150  0.9 7  3.8  94    0    0 294 -322  2
3943500 2443500  1  6  7   0.4  977  94  1.4 8  3.8  94    0    0 299 -322  2
3943500 2443500  1  6  8   0.2  977  83  1.2 8  3.8  95    0    0 306 -322  2
3943500 2443500  1  6  9   0.2  977 102  1.1 8  3.8  95    0    6 307 -322  2
3943500 2443500  1  6 10   0.6  977  93  1.1 8  3.8  95    0   37 309 -322  2
3943500 2443500  1  6 11   1.4  977  95  0.8 6  4.0  94   13   97 296 -324  2
3943500 2443500  1  6 12   2.3  977  74  0.7 7  4.1  90   12  123 290 -328  2
3943500 2443500  1  6 13   2.3  976 120  1.1 7  4.0  87    7  121 299 -331  2
3943500 2443500  1  6 14   3.0  976  72  1.5 6  4.2  88   15  119 291 -334  2
3943500 2443500  1  6 15   2.5  975 111  1.1 7  4.3  88    1   70 293 -336  2
3943500 2443500  1  6 16   2.7  975 131  0.9 8  4.3  90    0   31 311 -336  2
3943500 2443500  1  6 17   2.4  975 112  1.3 8  4.3  91    0    4 320 -336  2
3943500 2443500  1  6 18   2.6  975 209  1.9 8  4.3  92    0    0 320 -336  2
3943500 2443500  1  6 19   2.6  975 210  1.6 8  4.3  92    0    0 320 -336  2
3943500 2443500  1  6 20   2.9  975 211  2.2 8  4.3  90    0    0 320 -335  2
3943500 2443500  1  6 21   3.0  974 210  2.8 8  4.3  87    0    0 320 -335  2
3943500 2443500  1  6 22   2.9  974 208  3.2 8  4.2  85    0    0 320 -335  2
3943500 2443500  1  6 23   2.9  974 218  2.2 8  4.1  85    0    0 320 -335  2
3943500 2443500  1  6 24   2.7  974 218  2.9 7  4.1  85    0    0 311 -336  2
3943500 2443500  1  7  1   2.8  974 228  2.5 8  4.2  86    0    0 310 -337  2
3943500 2443500  1  7  2   2.7  974 249  1.9 8  4.2  88    0    0 316 -338  2
3943500 2443500  1  7  3   2.9  974 208  1.8 8  4.4  90    0    0 316 -339  2
3943500 2443500  1  7  4   2.8  975  42  0.8 8  4.4  91    0    0 316 -340  2
3943500 2443500  1  7  5   2.4  975 249  1.4 8  4.4  92    0    0 317 -341  2
3943500 2443500  1  7  6   3.0  975 230  2.4 8  4.5  93    0    0 317 -342  2
3943500 2443500  1  7  7   2.8  975 239  1.5 6  4.6  94    0    0 305 -342  2
3943500 2443500  1  7  8   1.9  975 130  1.3 8  4.4  94    0    0 302 -343  2
3943500 2443500  1  7  9   2.8  975 209  1.5 8  4.4  94    0    5 314 -343  2
3943500 2443500  1  7 10   2.6  975 180  1.2 6  4.5  93    0   39 300 -345  2
3943500 2443500  1  7 11   2.8  976  64  0.9 6  4.5  94    0   59 287 -347  2
3943500 2443500  1  7 12   3.5  976 170  0.7 7  4.7  94    0   71 295 -349  2
3943500 2443500  1  7 13   4.0  976 162  0.6 7  4.8  93    3  110 303 -351  2
3943500 2443500  1  7 14   4.0  976 105  0.9 6  4.8  92   15  122 297 -353  2
3943500 2443500  1  7 15   4.5  975 151  1.7 6  4.9  91   11   90 290 -354  2
3943500 2443500  1  7 16   4.5  975 209  0.7 7  4.9  90   10   51 296 -353  2
3943500 2443500  1  7 17   3.5  975  80  0.6 6  4.7  89    0   10 292 -349  2
3943500 2443500  1  7 18   2.1  974 139  0.7 4  4.4  90    0    0 269 -342  2
3943500 2443500  1  7 19   2.0  974 149  0.4 7  4.2  92    0    0 271 -337  2
3943500 2443500  1  7 20   2.5  974 310  0.6 7  4.3  93    0    0 288 -335  2
3943500 2443500  1  7 21   2.3  973 258  1.0 7  4.4  94    0    0 287 -333  2
3943500 2443500  1  7 22   2.2  973 229  0.5 7  4.4  95    0    0 286 -333  2
3943500 2443500  1  7 23   1.7  973 149  0.4 8  4.4  96    0    0 291 -333  2
3943500 2443500  1  7 24   2.1  973 111  0.8 4  4.3  95    0    0 273 -332  2
3943500 2443500  1  8  1   1.7  973 152  1.1 8  4.3  94    0    0 272 -331  2
3943500 2443500  1  8  2   1.6  973 131  1.2 8  4.2  94    0    0 296 -330  2
3943500 2443500  1  8  3   1.2  972 172  1.3 8  4.1  94    0    0 294 -330  2
3943500 2443500  1  8  4   0.9  972 151  1.8 8  4.0  94    0    0 293 -331  2
3943500 2443500  1  8  5   0.3  972 192  2.3 7  3.9  94    0    0 285 -331  2
3943500 2443500  1  8  6  -0.1  972 152  2.0 7  3.8  94    0    0 276 -331  2
3943500 2443500  1  8  7  -0.3  971 213  2.2 7  3.6  94    0    0 276 -329  2
3943500 2443500  1  8  8  -0.4  971 182  2.5 8  3.6  93    0    0 284 -328  2
3943500 2443500  1  8  9  -0.6  971 211  2.0 8  3.6  94    0   10 291 -328  2
3943500 2443500  1  8 10  -0.4  970 182  1.4 7  3.6  94   11   60 285 -329  2
3943500 2443500  1  8 11   0.2  970 223  2.3 7  3.7  94    9   95 282 -334  2
3943500 2443500  1  8 12   0.6  970 202  2.0 7  3.8  92    9  119 285 -341  2
3943500 2443500  1  8 13   1.1  969 211  2.3 6  3.8  90   12  131 282 -345  2
3943500 2443500  1  8 14   2.5  969 131  2.7 5  3.9  87   83  138 275 -346  2
3943500 2443500  1  8 15   2.1  967 102  2.6 5  4.0  86   62  107 271 -347  2
3943500 2443500  1  8 16   1.3  967 195  0.9 7  4.0  89   23   58 281 -349  2
3943500 2443500  1  8 17   1.0  966 131  1.4 7  3.9  91    2   13 294 -348  2
3943500 2443500  1  8 18   0.4  965 141  1.5 7  3.9  92    0    0 293 -347  2
3943500 2443500  1  8 19   1.2  964 209  1.5 7  3.9  92    0    0 295 -347  2
3943500 2443500  1  8 20   0.3  964 111  1.9 7  3.9  92    0    0 293 -348  2
3943500 2443500  1  8 21   1.8  963 279  1.8 8  3.9  90    0    0 301 -349  2
3943500 2443500  1  8 22   2.1  963 131  1.7 8  4.1  89    0    0 315 -350  2
3943500 2443500  1  8 23   1.4  962 150  2.3 8  4.1  91    0    0 315 -351  2
3943500 2443500  1  8 24   1.8  961 252  1.5 8  4.2  93    0    0 315 -351  2
3943500 2443500  1  9  1   1.9  961 150  1.9 8  4.3  94    0    0 317 -351  2
3943500 2443500  1  9  2   3.7  961 210  1.5 7  4.6  94    0    0 308 -349  2
3943500 2443500  1  9  3   4.4  961 213  2.8 8  4.9  91    0    0 314 -346  2
3943500 2443500  1  9  4   3.9  960 211  2.9 7  4.8  89    0    0 315 -345  2
3943500 2443500  1  9  5   4.2  960 201  2.6 7  4.7  88    0    0 305 -343  2
3943500 2443500  1  9  6   3.1  960  98  1.9 7  4.6  89    0    0 303 -341  2
3943500 2443500  1  9  7   4.6  960 208  2.2 8  4.8  92    0    0 312 -340  2
